Age [ka BP],CO2 [µmol/mol],CH4 [nmol/mol],N2O [nmol/mol]
10.289,264.88,694.03,265.65
10.29,264.89,693.52,265.7
10.291,264.89,693.02,265.75
10.292,264.9,692.57,265.8
10.293,264.91,692.17,265.85
10.294,264.91,691.84,265.9
10.295,264.92,691.59,265.95
10.296,264.92,691.42,266.0
10.297,264.93,691.32,266.05
10.298,264.94,691.28,266.1
10.299,264.94,691.29,266.14
10.3,264.95,691.33,266.19
10.301,264.96,691.39,266.24
10.302,264.96,691.47,266.29
10.303,264.97,691.56,266.34
10.304,264.97,691.67,266.39
10.305,264.98,691.8,266.44
10.306,264.99,691.93,266.49
10.307,264.99,692.08,266.54
10.308,265.0,692.24,266.59
10.309,265.01,692.42,266.64
10.31,265.01,692.62,266.68
10.311,265.02,692.84,266.73
10.312,265.02,693.1,266.78
10.313,265.03,693.39,266.83
10.314,265.04,693.69,266.88
10.315,265.04,693.99,266.93
10.316,265.05,694.26,266.98
10.317,265.06,694.49,267.03
10.318,265.06,694.66,267.07
10.319,265.07,694.77,267.12
10.32,265.07,694.83,267.17
10.321,265.08,694.85,267.22
10.322,265.09,694.84,267.27
10.323,265.09,694.84,267.31
10.324,265.1,694.84,267.36
10.325,265.11,694.84,267.41
10.326,265.11,694.83,267.46
10.327,265.12,694.81,267.5
10.328,265.13,694.76,267.55
10.329,265.13,694.69,267.6
10.33,265.14,694.6,267.64
10.331,265.14,694.49,267.69
10.332,265.15,694.38,267.74
10.333,265.16,694.28,267.78
10.334,265.16,694.21,267.83
10.335,265.17,694.19,267.87
10.336,265.18,694.2,267.92
10.337,265.18,694.25,267.97
10.338,265.19,694.32,268.01
10.339,265.19,694.38,268.06
10.34,265.2,694.44,268.1
10.341,265.21,694.47,268.15
10.342,265.21,694.49,268.19
10.343,265.22,694.5,268.23
10.344,265.23,694.5,268.28
10.345,265.23,694.49,268.32
10.346,265.24,694.45,268.37
10.347,265.25,694.37,268.41
10.348,265.25,694.24,268.45
10.349,265.26,694.05,268.5
10.35,265.26,693.8,268.54
10.351,265.27,693.51,268.58
10.352,265.28,693.19,268.62
10.353,265.28,692.88,268.67
10.354,265.29,692.59,268.71
10.355,265.3,692.34,268.75
10.356,265.3,692.15,268.79
10.357,265.31,692.01,268.83
10.358,265.32,691.92,268.87
10.359,265.32,691.89,268.92
10.36,265.33,691.92,268.96
10.361,265.33,692.0,269.0
10.362,265.34,692.15,269.04
10.363,265.35,692.36,269.08
10.364,265.35,692.63,269.12
10.365,265.36,692.94,269.16
10.366,265.37,693.28,269.2
10.367,265.37,693.62,269.24
10.368,265.38,693.96,269.28
10.369,265.39,694.27,269.32
10.37,265.39,694.54,269.36
10.371,265.4,694.78,269.39
10.372,265.4,695.01,269.43
10.373,265.41,695.22,269.47
10.374,265.42,695.42,269.51
10.375,265.42,695.61,269.55
10.376,265.43,695.79,269.59
10.377,265.44,695.92,269.62
10.378,265.44,696.01,269.66
10.379,265.45,696.04,269.7
10.38,265.46,695.98,269.73
10.381,265.46,695.83,269.77
10.382,265.47,695.58,269.81
10.383,265.47,695.25,269.84
10.384,265.48,694.84,269.88
10.385,265.49,694.37,269.92
10.386,265.49,693.85,269.95
10.387,265.5,693.31,269.99
10.388,265.51,692.74,270.02
10.389,265.51,692.16,270.06
10.39,265.52,691.58,270.09
10.391,265.53,691.0,270.13
10.392,265.53,690.45,270.16
10.393,265.54,689.92,270.2
10.394,265.55,689.43,270.23
10.395,265.55,688.96,270.27
10.396,265.56,688.51,270.3
10.397,265.56,688.07,270.33
10.398,265.57,687.66,270.37
10.399,265.58,687.28,270.4
10.4,265.58,686.94,270.43
10.401,265.59,686.65,270.47
10.402,265.6,686.41,270.5
10.403,265.6,686.25,270.53
10.404,265.61,686.16,270.56
10.405,265.62,686.17,270.6
10.406,265.62,686.24,270.63
10.407,265.63,686.38,270.66
10.408,265.63,686.54,270.69
10.409,265.64,686.71,270.72
10.41,265.65,686.85,270.75
10.411,265.65,686.94,270.79
10.412,265.66,686.96,270.82
10.413,265.67,686.93,270.85
10.414,265.67,686.86,270.88
10.415,265.68,686.77,270.91
10.416,265.69,686.72,270.94
10.417,265.69,686.73,270.97
10.418,265.7,686.83,271.0
10.419,265.7,687.03,271.03
10.42,265.71,687.35,271.06
10.421,265.72,687.76,271.08
10.422,265.72,688.23,271.11
10.423,265.73,688.75,271.14
10.424,265.74,689.28,271.17
10.425,265.74,689.81,271.2
10.426,265.75,690.32,271.23
10.427,265.76,690.8,271.25
10.428,265.76,691.25,271.28
10.429,265.77,691.67,271.31
10.43,265.77,692.07,271.34
10.431,265.78,692.46,271.36
10.432,265.79,692.88,271.39
10.433,265.79,693.33,271.42
10.434,265.8,693.82,271.44
10.435,265.81,694.35,271.47
10.436,265.81,694.91,271.49
10.437,265.82,695.49,271.52
10.438,265.82,696.04,271.55
10.439,265.83,696.55,271.57
10.44,265.84,697.0,271.6
10.441,265.84,697.39,271.62
10.442,265.85,697.73,271.64
10.443,265.86,698.01,271.67
10.444,265.86,698.27,271.69
10.445,265.87,698.49,271.72
10.446,265.87,698.7,271.74
10.447,265.88,698.88,271.76
10.448,265.89,699.02,271.79
10.449,265.89,699.14,271.81
10.45,265.9,699.23,271.83
10.451,265.91,699.3,271.86
10.452,265.91,699.33,271.88
10.453,265.92,699.32,271.9
10.454,265.92,699.25,271.92
10.455,265.93,699.12,271.94
